"sample_id","12-keto Lithocholic Acid","12alpha-hydroxy-3-oxo-5beta-cholan-24-oic Acid","3-dehydrochenodeoxycholate","3-dehydrocholate","3-oxo-<U+0394>4-CDCA","3-oxo-<U+0394>4-LCA","3-oxo-<U+0394>4,6-LCA","3-oxoalloLCA","3-oxoLCA","3<U+03B2>-Cholic Acid","7-dhca","7-oxoCDCA","alloCDCA","alloisolithocholic_acid","alloLCA","alpha-muricholate","beta-muricholic acid","CA","CA-3S","CDCA","CDCA-3S","chenodeoxycholate/deoxycholate","DCA-3S","Deoxycholic acid glycine conjugate","GCA","GCDCA","HCA","HDCA","hyodeoxycholate/ursodeoxycholate","isoCDCA","isoDCA","isoLCA","LCA","LCA-3S","Lithocholic acid taurine conjugate","MDCA","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","taurohyodeoxycholate/ tauroursodeoxycholate","taurolithocholate 3-sulfate","TCA-3S","UCA","UDCA-3S","W-muricholic acid","<U+0394>5-3b-ol"
"CE020-2",2902.982599,484.5272558,45.22672339,21.88238451,NA,6.897310035,4.208126844,28.12018727,911.3843393,10.68712545,36.20054468,154.0298559,10.10516887,192.0475351,115.8429347,NA,NA,199.0815309,0.664035688,418.6771121,5.660964832,9266.231599,39.19096873,185.176306,156.8287076,229.936049,1.882725895,3.401550901,325.2119549,50.04958072,323.0420315,1256.977569,7387.53164,101.1376483,NA,6.128139421,NA,11.22752977,10.94220236,6.183669955,3.398501635,1.74829984,NA,107.5532398,5.909734781,2.289762657,10.30946183
"CE023",2703.590152,333.4699527,7.536579961,NA,NA,9.523225059,1.398957352,66.38951127,851.5804251,NA,4.151751893,7.415053582,NA,436.6982053,99.07788187,NA,NA,5.366469824,0.231730587,14.97209352,0.027478767,6594.82238,0.519256249,5.11326178,1.443373569,2.639007166,0.076091791,7.155225812,2.610452529,35.87980053,299.5790047,1078.784884,4410.556066,0.755494094,NA,NA,NA,0.403157522,0.417565814,0.410240868,NA,NA,NA,1.308415826,NA,0.397638279,6.078391667
"CE024-2",2267.929642,383.5678105,11.50067473,NA,NA,1.017358002,0.242714811,33.94612245,297.1502388,NA,3.293470529,33.75426249,NA,244.4714126,177.6201689,NA,NA,14.86474205,0.228758296,77.12400343,0.463426933,16875.21717,4.897031866,20.12976644,2.536414555,6.112637198,0.059862864,11.87764263,18.02875167,49.93279348,459.5823919,549.7462006,10635.68888,30.72086737,NA,57.17344195,NA,0.293686563,0.178627994,0.693688303,NA,NA,NA,4.813923307,NA,0.844488288,6.910278323
"CE025",200.4645771,196.1783553,5.806388398,0.127221889,NA,3.882967888,4.245377783,NA,264.9241383,NA,2.576478868,3.423329452,NA,6.200219594,14.69329128,NA,NA,8.253965141,32.37464285,24.68488647,509.7381507,2657.838684,3025.594235,10.77285211,2.757263133,10.41205382,NA,3.448112314,9.194707563,7.599986733,67.05578436,150.6110507,1019.958922,575.0175448,NA,NA,NA,0.543747943,0.294935663,2.184266087,0.226888506,0.803932492,NA,11.75458399,366.9370589,0.375187487,1.646680132
"CE030-2",137.2932499,20.46231214,1.421676429,0.286223405,NA,1.295447899,3.036991414,NA,15.72997862,3.28796455,2.940645297,12.82843919,7.49218176,3.4936273,12.20008604,NA,NA,14.90978267,72.69997534,31.16062984,440.9892285,2689.286348,1254.061599,2.054561592,3.210714468,6.355907615,1.877509615,10.55321335,9.028713212,8.873545858,71.10752635,60.36220319,986.355063,352.4621139,NA,2.826841547,NA,1.07049299,0.575032093,0.328183565,0.082666347,0.247285525,NA,1.129181863,63.64436069,NA,7.605452202
"CE031",116.689719,44.00013186,66.02033394,102.4023876,1.190489701,NA,2.220318327,NA,2.342090341,570.0704906,432.8869062,413.4202197,35.5056808,2.93258471,4.866721155,NA,NA,7502.64288,12.8858844,3336.31698,64.50867093,4246.524027,320.683375,11.26997926,14.99387819,15.26599509,11.36931632,5.553910363,746.0741682,191.5392355,116.057115,15.52710871,287.5158669,147.0626735,NA,3.346146774,NA,5.127503232,6.076914512,2.549638596,0.712090444,0.61819162,NA,2313.981203,99.58951184,NA,5.914593528
"CE032-2",176.6306289,182.8704913,13.0077205,NA,NA,2.364764134,2.78629501,NA,308.6541756,1.039191402,3.260924882,32.59846595,27.82309663,33.89991609,56.95325331,NA,NA,14.23594387,NA,337.818177,1.785870354,13082.98622,11.82683219,68.79114833,4.96795674,22.96263766,0.595086578,17.65784915,181.9147285,47.93757023,363.033991,1196.879647,5370.489068,170.8959978,NA,7.732308797,NA,0.869824022,0.285185325,1.454390842,NA,0.309719041,NA,4.153742413,0.592359163,NA,9.469488758
"CE036",3581.658192,659.5522714,4.015831734,1.979347444,NA,4.814596642,1.673078649,30.30093181,1194.099353,0.935096158,7.589829998,18.63840965,NA,144.5793018,66.21382372,NA,NA,13.30361349,0.391817927,38.41863963,0.293409929,9039.518596,3.547014185,38.89916246,18.12371896,23.60976957,0.092238002,13.78416968,7.171548839,49.80707783,414.2770272,1338.445063,5342.532861,3.39151308,NA,NA,NA,1.33483297,0.947057709,1.554292648,NA,NA,NA,2.904558736,NA,NA,6.941991049
"CE038",1479.167828,479.2835616,13.05202805,0.374858271,NA,1.688536079,3.236152699,NA,419.771011,97.51971982,4.353762561,17.17393963,40.50423905,23.06659455,83.3196956,NA,NA,20.51546317,0.285982083,36.06936257,1.786934045,21699.11623,8.704931852,16.35586197,6.278448934,12.39642206,8.455709211,9.741799096,37.19667039,74.40171819,744.7649941,1018.677733,7003.151137,17.19207191,NA,NA,NA,1.870158635,0.662720468,0.675779378,0.418349638,NA,NA,23.75112788,1.993902886,6.04809421,9.104950432
"CE041",143.2971144,53.29556882,0.480276591,NA,NA,1.267053362,2.190803584,NA,83.266263,32.73788305,3.044719165,3.472481411,NA,23.455894,25.18483869,NA,NA,6.943641903,27.41818852,21.34712686,206.6092693,1101.87261,1847.978647,11.77630955,3.029562015,17.60490345,NA,4.265800441,2.997622699,5.14118717,25.55561955,159.7956266,1467.409822,52.08383889,NA,NA,NA,0.746626345,0.325280292,0.432799916,0.104737503,0.131218808,NA,2.705744202,192.7611695,NA,1.126512281
"CE045",237.352758,406.5049731,7.694038125,NA,NA,3.891396417,2.125107922,NA,423.1359405,49.40417894,5.298268094,5.73898416,NA,6.269112724,29.22647999,NA,NA,12.75069963,103.4647874,17.17383237,579.1792804,5728.983759,1793.128855,5.564169071,9.708508009,15.23454171,7.001743968,18.39806733,11.64070469,14.15614578,146.6072214,194.3902638,1758.217191,15.66579481,NA,2.712004974,NA,2.175119069,1.570331428,0.90978592,NA,NA,NA,8.246389695,69.82009566,1.171574086,1.583423656
"CE046-2",120.2960291,43.72307885,2.616591662,0.159357003,NA,1.314045501,0.905376647,NA,107.5961825,48.7874238,3.933747683,11.21110907,16.43891121,23.76502598,23.39196432,NA,NA,17.55131293,0.227856194,80.06070597,0.890149669,993.5555599,2.719719502,98.42228162,67.96698608,169.2608292,0.629226075,10.0571952,17.7965238,6.350958574,33.89602763,287.1577225,1774.342706,16.24745601,NA,4.226034074,NA,11.36782814,5.895384832,4.282223584,2.032041152,0.752589987,NA,6.83954559,0.360423244,0.597485684,7.286462214
"CE048",1710.598831,452.514918,1.677788171,1.335087273,NA,4.961314706,5.883122393,6.841624339,709.1895654,3.393160281,5.868343727,25.3972806,9.155993905,47.24717696,51.7417778,NA,NA,21.28427079,2.520030903,27.51536222,4.716400428,5897.701546,114.1214134,22.73166933,11.20216348,20.63709503,0.379649869,20.68686281,29.46161985,22.87817125,181.0667935,642.0552723,3992.119887,62.66042191,NA,NA,NA,1.493595771,0.846099905,1.25767596,0.187560617,0.277145293,NA,6.502611504,53.47891584,2.050489331,6.066481834
"CE052",2005.473323,787.0779049,21.26303582,0.428157822,NA,5.990651866,4.614729638,93.78200433,1522.326409,NA,2.602927084,17.34526556,NA,453.4719565,247.4138922,NA,NA,33.96808359,0.225522593,93.11221216,1.325786203,15082.89904,5.239875058,44.94283229,36.22873777,68.92929438,0.241618963,27.0237814,1.411604975,62.33366944,554.8068431,1803.223264,11732.79812,6.241413332,NA,5.263995282,NA,9.348699338,3.802667267,2.460646527,0.217244399,0.470512051,NA,NA,NA,NA,18.78876165
"CE061-2",671.5797907,132.3202564,10.47634054,1.109630971,NA,3.017096441,2.900658089,69.44747805,636.1762396,1.333029072,8.69597946,51.66445369,7.571328471,414.2662155,109.5403668,NA,NA,22.62236338,0.160755473,162.3803303,2.117939582,3505.658171,4.343041296,162.2059611,49.75130872,307.800021,0.80648374,11.61846054,61.93409875,14.74284857,115.8264831,811.1769211,5182.100854,30.76392665,NA,3.115297377,NA,7.614454365,1.267708016,2.424955165,0.870282585,0.199749542,NA,23.46732471,3.049153139,0.738028513,8.908441519
"CE062-2",265.5562701,170.5753836,4.162942071,0.158582652,NA,6.716076699,2.788568696,NA,436.9975975,25.81327642,2.785500406,6.55918513,6.847070071,16.20345548,19.8433868,NA,NA,5.229101888,NA,21.85824436,0.305108964,2629.570589,0.661653534,4.012819131,3.506758857,9.366412911,1.573592308,9.788606355,9.482106801,12.26605627,122.1724066,279.7744452,1670.246486,3.00650802,NA,2.651801511,NA,3.134853729,0.825693143,0.69149917,0.481926473,NA,NA,13.42069615,0.157947584,1.957771228,1.639786554
"CE063",664.5492906,239.2079711,10.68368237,0.66610365,NA,3.509001727,1.459072388,20.99368813,543.0346822,NA,NA,16.69825595,NA,77.42394124,39.94503939,NA,NA,4.435727373,0.256471635,10.92486101,NA,1860.46795,0.945067308,2.72063772,0.819533753,0.899865314,NA,3.238274673,13.77179891,21.4054328,162.9375024,535.449649,2309.501493,0.682229396,NA,NA,NA,0.035089038,NA,0.169183624,NA,NA,NA,0.231945159,NA,NA,1.399537376
"CE065-2",2541.362523,491.6968888,15.7016104,1.425703688,NA,6.375878582,1.288488683,NA,438.3491313,117.0314804,23.472904,53.73750017,8.284507707,16.23533028,35.9499857,NA,NA,153.4921031,25.63130244,61.37968906,280.8837453,16182.1457,5069.240969,17.26493143,2.11004124,4.727001802,NA,17.69555306,74.99752187,63.74341472,567.7838135,1010.125888,7353.733173,3053.944785,NA,NA,NA,0.15318923,0.329595399,0.972862514,NA,NA,NA,35.49746595,193.7679604,NA,2.782509649
"CE068-2",3418.244868,599.5596518,NA,0.190703951,NA,5.598343868,9.325172756,18.46852049,772.0768326,13.86853702,11.22336727,9.838197202,NA,129.1180296,46.05433797,NA,NA,12.63551081,0.26039094,24.62447813,1.494978735,7754.54585,15.36072909,11.51926825,4.427159034,6.17755641,0.100002684,48.87177447,4.491183496,40.85998413,350.1221456,786.8625075,3533.331419,17.73052813,NA,10.65321806,NA,0.791727354,1.035227848,1.080805129,NA,NA,NA,2.942269939,0.389320055,NA,5.119206568
"CE069",184.9133273,45.19086792,2.036247945,0.321052112,NA,1.555280119,4.26037496,NA,100.2786789,34.16170825,NA,NA,4.834827778,19.21640689,30.00966739,NA,NA,16.58090842,31.63534006,50.42678909,490.5375745,2036.207821,4659.434412,16.82738686,3.080946553,7.975126767,2.562581233,4.281529887,75.12057613,14.14966685,91.11196559,548.9093783,4078.767359,2614.577655,NA,NA,NA,1.065567037,0.572778745,1.051724268,0.288888956,NA,NA,21.62331136,654.9884276,NA,13.07062866
"CE070",369.6291872,85.96811041,4.542271756,0.185788307,NA,2.97773836,2.28292263,14.03181013,219.8867885,NA,NA,NA,NA,574.4065989,373.7246881,NA,NA,11.6279394,NA,75.01626278,0.779829023,8395.232466,1.452701859,4.479346834,1.218196673,12.02841221,0.76574178,40.73048582,47.81702331,53.36142998,339.2923555,1323.273272,15993.84816,7.945273371,NA,NA,NA,1.340542024,0.269806173,0.232798156,0.258804204,NA,NA,3.348742711,0.693005549,NA,11.92808435
"CE074",262.506894,68.29729134,2.13954255,0.405895781,NA,0.477578129,2.493398097,NA,51.45494665,29.59614256,NA,3.029651389,6.851460517,4.115337645,35.86429105,NA,NA,16.22937551,20.32370155,20.40935964,NA,6876.263009,NA,5.425739879,2.373773065,3.605311456,NA,5.24491547,9.529700904,29.94013443,283.9871495,492.257107,4330.764425,6.64994973,NA,NA,NA,0.181039029,NA,1.360595702,NA,NA,NA,4.420315938,3.430428289,NA,0.994888822
"CE076",876.2802503,228.6710393,6.936409392,1.280050152,NA,1.690330233,5.838163036,NA,103.5363711,16.52397542,19.75041354,50.06113857,5.020851783,91.57567091,95.56988681,NA,NA,227.5455011,1.921677174,383.9883273,23.67756542,24669.2881,35.94148963,13.08884775,5.266021284,11.41523456,1.026282035,21.96874646,250.249834,106.3275975,766.6484265,1014.658139,8721.994944,146.1228778,NA,5.974762828,NA,1.246338538,0.389657691,0.761391,0.141861403,4.803085338,NA,65.22237733,7.021926334,NA,11.4305173
"CE077",134.0482168,40.63775384,1.896508009,0.594897187,NA,1.101946237,3.894871847,NA,83.06878455,1.651582012,NA,NA,NA,4.423583404,19.71211606,NA,NA,34.1852284,140.8009467,57.78403498,1234.158442,1041.807742,1588.981239,7.734499136,7.976025184,23.2731081,NA,NA,NA,7.45806712,40.39021366,238.3410682,1788.657912,129.63142,NA,NA,NA,1.989211696,0.489941732,NA,NA,NA,NA,1.411936186,238.2196491,NA,5.724146998
"CE079",479.912275,59.59646538,2.784288254,NA,NA,6.975376538,1.596311784,22.07292397,599.7162312,NA,6.373808901,8.707990864,NA,34.05160723,10.41561852,NA,NA,5.04797351,1.107519922,27.5044149,1.419410744,364.3556402,5.22564739,2.187459561,1.568642648,9.020752476,NA,4.687490824,7.631309668,4.921225358,17.99096054,136.338047,1199.064695,16.84090869,NA,NA,NA,1.574407261,0.60042896,0.422793007,NA,NA,NA,2.420636009,1.79920352,NA,1.110392877
"CE080",381.4828732,187.7385681,6.278326326,0.46033496,NA,1.646280583,1.723917549,NA,190.860873,7.038487286,3.298600677,19.07639802,8.511334965,32.22769809,50.97259722,NA,NA,7.409915008,2.897959755,28.53334365,6.826072251,9222.477927,47.9298611,7.598812587,8.070910853,16.9798429,2.064662735,8.452544155,49.84393689,44.55329741,359.2290432,770.1654331,5127.6916,23.26849097,NA,3.372247293,NA,5.113200698,1.693498505,1.371213065,0.252586875,0.294707435,NA,5.977354047,36.58076588,1.034167497,5.850403154
"CE081",1991.579319,348.0814713,12.78933816,0.400752064,NA,3.23956433,3.50319217,57.73670866,370.2686635,NA,NA,NA,NA,560.431101,139.2148942,NA,NA,6.615456753,NA,7.643178261,23.84728657,4636.540029,2.251469437,8.37581094,1.500514251,2.295744056,NA,3.493339758,NA,33.72513495,290.9966955,543.129677,3171.508993,7.580190134,NA,NA,NA,0.434601221,0.335853488,0.212708794,NA,NA,NA,NA,NA,NA,3.195896502
"CE084",2382.487839,321.1458387,10.44538807,NA,NA,3.255656231,3.337583493,28.16698052,568.613503,1.413792327,4.075651716,13.27491468,NA,346.4558568,177.1541248,NA,NA,16.61417532,0.237832256,54.15169864,1.924883129,14168.46687,3.009479308,15.11790918,9.798101192,26.77455383,NA,37.24007229,23.58828849,67.82028107,566.6297812,1621.340243,11918.33746,33.20999716,NA,5.704667463,NA,1.284071376,0.50709833,0.505150334,NA,NA,NA,2.362480354,0.866254436,1.110782802,19.9400371
"CE085",3893.707833,869.2632268,26.45161139,0.401847839,NA,1.855202181,6.845854109,NA,1125.752659,4.906688384,7.547769159,31.70296604,51.04912733,32.69795043,83.21950581,NA,NA,22.24562079,0.289995698,93.58449932,0.962921103,21129.31931,2.81608264,23.78934324,7.342583601,36.0203256,1.022797778,79.09209714,43.58133232,79.98926643,573.1636013,1407.752645,9903.135459,3.926533324,NA,5.272145819,NA,2.179892223,0.638306339,1.07370113,0.177201593,NA,NA,2.45559897,0.676943865,3.000530219,3.562628463
"CE086-2",393.635358,169.9390313,13.9551805,2.222373992,NA,3.376380512,4.558846184,28.2099283,403.4410399,5.757505919,24.57172938,132.9687333,7.995312725,419.5983695,126.2547428,NA,NA,46.12793321,0.222354327,202.625865,2.085016983,7938.35838,5.961268947,18.16401951,5.5916413,38.28457565,1.889263746,3.664935091,110.1911015,29.36598617,165.01914,877.8923866,5922.740613,38.62742994,NA,27.66183803,NA,0.464859004,NA,0.165123797,NA,0.396816217,NA,45.18644161,0.724946409,1.222693576,36.17157251
"CE087-2",3680.404956,742.045381,18.57019473,0.708247223,NA,0.245892511,1.623237412,NA,199.3487236,6.483597119,6.926452709,144.0257953,30.39079615,24.52662121,63.20967149,NA,NA,14.74836867,0.214049712,125.0793408,0.32798793,11345.93532,0.756838672,7.554625826,2.365789354,7.496323525,1.109985669,3.671833485,140.7225964,44.43107928,306.0303206,875.2809705,6220.561973,12.44517706,NA,NA,NA,0.800471272,0.588586804,0.677417951,0.146562381,NA,NA,139.2707167,0.489079486,NA,5.151995959
"CE088-2",534.466707,142.2111185,12.2259772,0.709252424,NA,2.744864474,1.715016708,NA,167.2515112,2.123461982,8.387457358,87.22072656,12.36743174,66.73547721,30.94024859,NA,NA,15.58294574,NA,139.4187738,2.541957057,4613.890131,6.940170815,5.368082343,2.617103356,8.245362309,1.354860387,16.36514199,101.4979704,22.46141494,124.7180028,327.9326549,2319.696848,57.86213847,NA,9.117258371,NA,0.493769587,0.220708515,0.262483192,0.098426526,0.532333572,NA,19.09536311,3.720693711,1.891715654,5.434344086
"CE089",636.8426213,123.5087116,9.193812599,1.624453269,NA,0.460462877,0.655645007,4.365599965,71.15004021,4.476409374,16.55192962,46.18100511,NA,183.9260312,113.7791897,NA,NA,93.6710886,0.470827233,138.2586669,8.808670706,23246.71133,45.80839572,1351.500377,538.2475509,638.7319381,0.229883648,15.80121914,29.2342106,67.10393381,633.4649367,785.8811096,9934.711806,93.59965887,NA,19.47590813,NA,16.24353485,18.73156887,24.45826503,0.970474186,1.076434664,NA,5.62426026,1.212963007,NA,15.46176183
"CE090",1919.26379,555.2041035,14.4744919,0.702123547,NA,1.510205795,4.072813573,10.0451705,328.7878217,1.018337949,5.60667228,15.89488691,NA,140.1263545,59.55517764,NA,NA,13.20443576,0.209049997,32.35094213,0.984785012,15297.76172,1.265513086,16.70750262,4.297656744,8.869705093,0.328498697,32.06146801,17.36916534,46.31780676,410.1432272,713.7509977,3826.533315,4.954385457,NA,10.40007766,NA,0.724055826,0.40131843,0.701817268,0.193304314,NA,NA,9.51327945,0.299243405,1.538776454,6.027316496
"CE091",479.3672818,220.6396039,10.51947661,1.603497319,NA,7.219090858,12.74568443,98.13474475,1788.013524,NA,11.70400472,35.50396517,15.15084159,511.8144426,145.4218415,NA,NA,20.85543242,0.224647956,92.87734212,1.153727291,4575.019075,0.985435331,14.87026077,2.94100167,12.22331457,1.720416617,9.386502747,16.07670479,11.46975028,95.8156225,1273.264159,7875.127053,8.017539393,NA,12.54183036,NA,0.27791816,NA,0.207164551,NA,NA,NA,5.843712618,0.388986123,0.799771083,5.76792158
"CE092-2",240.6795577,83.85331261,3.740202428,NA,NA,3.751233509,2.015873296,NA,350.1026459,0.328227795,NA,7.358445716,11.09546484,6.615173488,7.206546321,NA,NA,5.330414441,0.14003546,16.70748216,0.708799285,366.9172041,3.864470828,11.48790052,3.415518624,10.66819588,NA,20.7581414,3.575440276,2.360493259,15.05086061,72.82082492,639.8969223,5.529627759,NA,3.869026337,NA,8.614149671,1.475412534,2.299373201,0.706710461,0.487822034,NA,NA,0.556881695,0.198565951,0.864405233
"CE093",543.4951779,260.0963906,5.552106124,0.358320314,NA,4.559602865,3.204088602,6.774185836,510.8862747,5.693050462,4.681596418,15.61457615,58.77979368,90.66859697,62.24794404,NA,NA,12.38251833,0.305607698,29.52040164,3.570401807,8162.070426,13.35458945,13.64120773,10.08151604,16.27580915,0.493632275,18.86034849,22.84042059,28.60251498,284.3438805,895.463124,6074.450384,71.23627242,NA,7.150452739,NA,2.310447298,1.131340281,1.031909863,0.423253171,0.869314639,NA,10.02915265,2.464576625,0.656758878,16.0235426
"CE095",2.377768636,1.48668627,10.56072669,17.52654753,0.864109244,NA,1.943675964,NA,NA,462.4972673,288.5139887,124.0217152,80.94895975,1.614982279,NA,NA,NA,8181.620971,NA,5832.278686,0.190775401,868.6645338,NA,0.378103736,3.131015307,8.966881382,12.60653592,1.971581413,1827.319203,204.8980823,32.86214996,3.844982707,57.27998548,NA,NA,NA,NA,1.394803079,0.598615638,NA,0.340643971,NA,NA,1245.783664,2.050438226,NA,5.308756793
"CE096",1761.555634,392.2428767,10.9840311,0.659713758,NA,0.81759033,4.860327563,NA,234.165234,29.38969928,4.41746765,30.34754715,16.30614638,33.9831744,58.89034224,NA,NA,12.34698878,NA,59.72401465,0.057764654,24052.20503,0.34618647,17.88535305,6.643320874,12.3027268,4.75503893,17.98454317,155.1673042,113.9143959,1089.519889,1464.410235,8270.226289,1.67912751,NA,4.88544227,NA,0.682723883,0.387922238,0.507475922,0.127565952,NA,NA,65.12071789,0.108012151,4.348717308,8.031117031
"CE097",569.9614194,305.7817439,9.102026938,NA,NA,1.135761279,0.857216444,9.408670872,200.6723258,NA,NA,NA,NA,124.7182605,58.92893846,NA,NA,4.092184324,NA,9.931942578,NA,15154.1761,0.75656868,7.739587503,2.637988052,5.206853544,0.153215765,119.8040905,1.870583925,55.40862757,541.937818,626.1268098,4868.72278,0.789655302,NA,9.630610696,NA,1.247648316,0.504186167,1.28802298,NA,NA,NA,2.595025493,NA,0.598109446,2.439922801
"CE098",415.0335469,81.27613541,3.989059013,0.134914912,NA,5.223810654,2.030690591,73.91506632,426.4572136,NA,NA,16.38609851,NA,268.5066175,81.83704128,NA,NA,8.498192117,0.195544514,32.82310628,0.827839269,734.1800791,18.33886707,12.75729011,2.567783434,7.347029218,NA,4.074726194,2.983512901,6.620140439,36.18350514,357.6019436,1889.939539,28.2541721,NA,NA,NA,0.708181863,0.613673669,0.956059919,NA,0.139242836,NA,1.879444531,0.600491707,NA,3.040939013
