"sample_id","(+)-12-methyl myristic acid","(+/-)-Tryptophan","(12 or 13)-methylmyristate (a15:0 or i15:0)","11Z-Eicosenoic acid","13.36_acetic acid","16.89_propanoic acid","2-(1H-indol-3-yl)acetic acid","2-Aminobenzoic acid","2-Aminobutyric Acid","2-Methylbutanoic Acid","2-Methylsuccinic Acid","2-Oxobutanoic Acid","21.49_3-methyl-1H-indole**","26.93_hexanoic acid","3-methyladipate/pimelate","3-methyladipic acid","3-Phenylpropionate","30.08_Heptanoic acid","31.35_4-methylphenol","39.01_1H-indole","5-Aminopentanoate","5-Oxo-L-Proline","7Z, 10Z, 13Z, 16Z, 19Z-docosapentaenoic acid","AA","acetoacetate","Ala","Anteisomargaric Acid","Asp","azelaic acid","behenate (22:0)*","beta-Ala","caprate","Caprylic Acid","Cinnamic acid","citrate","Cys","Decanedioic acid","DHA","Dl-Proline","dodecanedioate","dodecanoate","Eicosatrienoic Acid","ethylmalonate","FA 18:1","FFA C11:0","FFA C14:0","FFA C18:0","FFA C9:0","Glu","Glutarate","Glutarate semialdehyde","isoheptadecanoic acid NIST","Isomyristic Acid","Isopalmitic Acid/Anteisopalmitic Acid","Isotridecanoic Acid","Isovaleric Acid","L-tyrosine","malonate","Margaric Acid","N-Acetyaspartic acid","niacin","Octanedioic acid","Palmitic Acid","Pentadecylic Acid","Phenylacetic Acid","putrescine","sarcosine","stearidonate (18:4n3)","succinate","Tridecanoic acid","undecanedioate (C11-DC)","Valeric Acid"
"Moth_50_UT",103387.249,36748.262,30458.526,7844.319,1540016.568,23171.932,48263.048,13520.751,85399.68,457072.231,117547.661,25807.241,4631.073,1467303.288,10360.11,8534.815,1213269.105,1691.248,170272.339,490159.277,143425.046,48545.439,0,4560.195,4115.601,21772.384,4151.294,368764.926,62029.353,10271.588,590345.196,13227.545,258210.091,6303.951,210575.183,3602.995,2726.71,767.377,197040.525,6729.389,6511.862,2558.753,4142.576,229594.652,1936.319,58361.266,683638.78,0,501891.381,194903.571,2647.218,5423.108,10007.508,9534.972,3877.31,986500.574,166035.757,152971.67,8311.191,70216.896,243884.374,12417.479,2076448.287,30315.351,220803.616,99298.409,12095.633,1798.201,411136.946,7051.569,3129.164,938449.666
"Moth_66_UT",256482.348,55132.55,87521.447,12956.924,610793.012,14478.748,9865.625,14543.975,281266.237,846482.934,86984.566,11208.581,204790.577,225159.251,33203.477,34167.079,535263.309,1114.779,795588.417,362516.327,126144.006,47858.253,0,6046.342,2053.54,29035.572,12153.126,346666.466,143593.111,6514.925,161424.626,7062.534,25734.623,8484.371,6032.164,17089.12,5053.035,1300.146,299889.756,10478.718,6838.335,1403.875,1146.402,171109.017,1721.729,78894.639,1000873.943,7582.262,362482.627,175095.094,5008.038,25712.092,33164.778,49027.501,10318.631,1563512.672,197018.728,53430.482,17471.447,27125.072,96014.19,25665.111,2249388.341,118705.813,331498.118,42194.394,18589.74,2208.921,453734.149,14712.452,2562.507,540135.683
"Gran_22_UT",365911.771,65336.77,84245.205,50942.553,1151431.493,27916.871,32490.51,14179.456,406137.481,919389.06,104038.757,27140.676,177262.485,890689.595,18929.813,95780.01,675264.462,1075.316,774416.444,178652.622,183525.389,37154.206,3228.208,3492.839,1672.725,43715.784,24443.775,605477.818,149968.484,13250.848,229210.968,135214.93,361027.765,49618.549,43602.425,7270.201,5595.978,1441.586,598747.299,8170.727,33643.318,29026.669,5859.185,159501.442,14114.685,217536.083,332691.522,28810.242,627680.107,14301.409,3777.425,14932.82,58474.712,67837.639,15044.88,1721648.04,91224.712,71276.421,9454.234,52263.061,118940.015,35381.896,2257861.134,131517.307,350531.007,15295.498,8379.007,9989.186,492325.216,37634.027,5551.704,799442.138
"Gran_49_UT",412599.261,128458.429,107352.845,142010.182,659836.358,16130.62,5940.778,11263.213,2611737.823,608907.75,11111.473,17115.658,68918.521,114850.693,30973.224,38326.552,246090.474,5064.881,375424.778,19527.415,303254.778,22022.209,1157.542,2319.007,1340.987,86324.902,40378.336,345341.855,188854.24,8627.187,402118.64,10811.835,12106.436,150928.306,8567.465,4814.586,6842.137,1098.152,1047127.786,10596.104,6627.325,3016.363,1529.947,222312.613,5204.504,100708.624,613112.85,7617.546,723592.436,60105.342,4209.491,24943.223,59548.48,102226.477,14099.037,1103156.857,180170.447,55001.905,12691.319,134160.219,83073.482,26574.971,1945462.981,188531.391,263469.262,16013.325,7176.288,3164.25,851838.595,27201.852,4700.119,487055.277
"Gran_32_UT",150518.501,51626.654,26731.769,18907.902,800945.191,19533.054,50927.714,5474.701,66007.553,363011.523,27993.643,22465.134,8797.506,53158.486,5038.365,2954.239,1714917.741,854.964,269866.62,244359.951,122731.991,15537.469,1305.673,4269.732,1447.223,29021.168,3655.416,598527.213,19434.559,1868.388,151033.513,4949.841,9907.532,20081.703,51897.227,2627.082,1413.422,925.914,309136.434,3626.722,10697,8367.111,1638.09,149470.466,1303.991,156872.088,395540.528,2782.787,568215.074,87241.238,2023.995,7997.149,10321.722,4150.626,2723.033,561158.855,135347.839,58994.463,8648.436,89008.9,153908.957,8241.542,2151144.006,53523.546,187082.745,31000.442,32112.171,5769.479,270045.08,6483.588,1115.2,604210.252
"Gran_28_UT",1347864.912,19994.917,263971.636,485975.866,754048.843,25976.648,17612.452,32110.65,138790.384,739092.051,22809.102,30822.729,1882.617,335934.657,8600.713,3304.364,157843.609,1336.532,2601901.925,1372150.238,122952.017,13168.46,27452.992,25985.615,2437.429,16659.278,46644.477,421525.937,42411.928,405545.023,67601.155,26533.808,23237.507,3101.098,16842.205,11538.171,2337.771,10012.812,168607.905,6699.129,25748.753,149623.691,2140.685,172721.295,218692.295,492225.684,631826.989,12999.497,384905.135,135478.945,3543.565,104981.754,136307.355,94853.899,29591.947,2002648.498,16533.32,52410.743,42818.441,58287.524,83565.041,17600.012,3739346.719,252634.921,538656.613,116283.62,13410.515,30321.853,377405.107,507216.148,1785.778,1981701.674
"Moth_54_UT",174973.431,40866.485,39322.895,28138.652,653033.44,9883.159,6183.957,6530.493,70130.137,351927.769,4967.044,10392.673,54889.79,282706.058,18192.547,53134.88,101891.156,827.226,701578.545,123126.211,85999.156,30779.55,0,2492.677,1300.048,29077.007,5808.988,268599.972,72487.685,43031.683,207782.253,13591.189,189190.372,12087.81,10767.052,5139.074,2563.049,713.627,350481.151,8067.016,5074.739,746.99,2921.269,363604.359,47585.382,47997.667,848917.616,2675.766,445257.65,211223.227,2687.431,18062.983,13060.71,13717.258,6286.518,676354.531,172471.563,104177.901,12861.411,26844.539,97440.959,18067.524,1856101.647,53827.972,164574.045,159879.938,13681.096,1207.004,343359.928,29650.663,1394.205,316811.812
"Moth_55_UT",277152.837,66865.888,61274.31,4111.87,4444496.329,73745.128,102156.081,6865.214,154529.221,425622.087,255187.96,124067.841,34571.131,1497416.544,19795.765,29278.384,700147.693,3051.332,101901.07,142548.579,365662.891,36710.5,317.727,5364.654,3022.49,33868.266,6771.975,787598.831,85541.085,8588.725,471062.813,15256.999,87121.262,16361.829,23913.592,25429.475,4319.483,1193.321,415239.726,11253.335,5573.251,2573.637,4200.124,113468.525,5447.015,43132.547,388517.937,2060.966,659112.88,227941.847,5000.192,5158.53,22053.664,16994.501,11832,540727.768,291668.777,188896.23,7168.86,240964.975,430390.932,23370.494,1808091.328,55082.275,81682.572,25151.154,184192.782,1676.242,1551302.976,16881.593,2764.07,1421923.084
"Moth_31_UT",254124.666,78088.786,68307.9,19828.196,1094414.684,17809.084,3363.444,8442.749,118045.533,772200.17,18927.953,36213.758,168518.688,503551.04,41042.119,100925.764,783080.237,2844.185,714258.824,329391.631,136233.275,90609.626,160.86,4315.131,3453.405,25928.985,8253.168,790146.423,197150.891,10130.782,561190.141,67812.449,214421.765,11832.311,51543.519,2989.903,6223.991,1159.516,320067.373,8050.974,10219.094,812.156,3646.563,294844.786,3251.757,100796.326,937835.271,6506.561,511061.832,29191.44,3984.068,19023.002,22070.203,24752.017,6365.875,1243772.5,294934.709,283313.478,14118.391,117456.669,197431.474,35344.064,2090520.524,92234.944,299235.625,20437.668,60330.321,728.468,703118.12,10705.128,3722.443,668052.858
"Inf_26_UT",199461.945,99967.763,19596.935,2796.178,1537709.366,26722.036,185201.184,5492.376,730637.669,1082741.772,80160.913,28236.089,433.695,24293.833,8001.421,5151.123,129869.264,626,1004973.925,332489.403,578269,25706.521,1093.882,1087.323,1401.993,42624.448,2150.379,1192359.1,15399.046,6654.121,2210750.631,24703.824,7771.96,23813.049,616324.109,12012.679,1361.58,399.861,406565.421,6134.764,62764.592,14686.648,2917.448,90481.906,1374.032,133143.987,296687.794,7389.813,507052.666,214206.962,2544.433,1374.93,23634.006,3114.651,7510.422,643343.986,303918,262510.985,3474.373,310148.288,172265.682,5753.432,1896032.692,10351.944,440163.396,902717.094,17500.266,2531.811,515118.642,15573.015,1697.908,310759.724
