"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9008-A_S",53705811,47691,131046,NA,224048,6800073,3582897,5450840,267,573764,64117,10957,38653,28905,110500,1297589,8290630,60698,131715902,545090,118956,23543487,2432949,1114817,12607,79905382,NA,2333222,81358455,223,1995306,81627507,16820,48971,17605327,122119112,4992,60121,234169,121965
"9015-E_S",53486814,52490,408897,1152125,198645,3313082,1949156,830211,251,436637,52232,7380,55551,46291,97854,1148309,11461128,39403,106486513,646672,90349,9137697,1781235,866636,8455,91882719,63,1000160,64965850,202,1543663,65228937,14830,55911,12562442,108906532,4782,23321,270720,171172
"9014-A_S",69020336,63654,10580,NA,NA,3971979,3138200,6786342,102,1233175,45441,21150,107953,51105,163242,2217463,16804148,133215,125166408,914090,139978,33117811,2578330,1491255,21203,111896791,209,1487938,62527629,1183,2360339,92717067,24081,82850,20642392,116999727,9624,44559,450255,NA
"9003-E_S",75055597,43609,1730437,2931017,387021,3131097,2314511,1757323,79,1113597,63413,8809,90714,60882,154363,1738193,10497245,79950,120660554,805238,112539,22691270,4665084,1147100,15694,89698591,NA,1436374,77200007,514,1872516,81203900,15842,84744,17781968,128315774,4568,22444,269308,104157
"9014-B_S",72424684,60574,4515,NA,181395,4424068,3511591,10353803,353,1091471,60836,20562,117056,48341,160542,1932020,19759676,135662,117803607,819015,135172,32883979,2824102,1442136,23347,102850692,127,1676810,73886395,5031,2830235,100598095,26266,82123,20708373,118995125,12522,57006,586725,NA
"9014-C_S",50573662,69592,14458,NA,NA,4543572,2846875,NA,81,734567,57213,13227,81128,14984,172603,1735283,14889370,84285,134662375,919863,156571,29534339,3192153,1668695,28977,117966123,4,1441211,96710441,535,1206670,87516074,33593,93306,21204542,130140880,9304,28584,506680,NA
"9014-D_S",55440961,64808,5590,21764472,115267,5038199,3175955,4877445,312,910543,58352,14640,75330,28047,159464,2026585,15007779,106747,129657364,955239,123849,33609242,2329599,1493800,23329,124685050,23,1683377,77861967,798,1679375,88194121,29186,82818,18871687,130795482,9160,33076,459075,NA
"9002-A_S",62660735,55716,230319,871782,359371,6778368,1996738,3058840,198,1654215,62508,12223,247750,31415,144949,1912153,17949577,103832,141752241,878935,139269,43304953,2728357,1446947,23103,130321363,NA,2906442,85393087,1516,4096208,85152656,23815,57338,15982098,136306996,5524,98649,309091,98329
"9013-A_S",91270623,49905,NA,NA,362397,4449427,3114221,NA,359,899142,43396,8691,154266,53417,135988,2024106,15736808,107050,180331246,1338463,156057,34637702,3803000,1202605,12429,114035016,71,1437168,106105496,383,1525035,114123527,21667,67725,27045266,175994157,5817,19232,321231,NA
"9013-B_S",74529252,48612,7846,NA,415268,4550214,3064341,NA,50,564595,51181,10658,133390,49495,100108,1822230,14766515,101838,208556878,1332444,135083,36990479,3344541,1214652,12297,121334579,165,1757417,115295940,232,1331805,107955565,22596,58807,21503976,188182785,5987,17645,280298,143397
"9008-B_S",63916806,41902,4135103,4052994,268256,6102024,4197218,2140482,303,774186,45955,9249,118373,47125,123814,1440382,8456709,83662,151579702,717803,129630,23642037,3622247,1207768,26636,84482964,179,2055006,92294091,316,1984400,92325013,24180,73401,14273652,151539738,5469,12264,272300,95673
"9008-C_S",68620275,72637,3531,NA,173248,7094153,4212578,184108,312,NA,69397,14688,68100,40406,123618,1686584,7534582,69744,119320483,594421,102138,33966655,2536054,1093188,14823,89581515,NA,2648902,96817563,255,1646476,70059665,17945,68309,22310604,142645241,5873,27171,228385,37322
"9008-D_S",61260430,57114,118380,8792797,218612,6889756,3884376,1834259,250,672041,62161,13312,63241,37045,108840,1514524,10884731,54928,146198351,662808,114431,29278514,2077935,1161732,14874,90286388,106,2405851,88581059,917,1652083,85269963,21648,62746,17938953,140238900,5652,66418,295209,76007
"9006-A_S",86616347,47241,801077,NA,642863,5063223,2894255,1381523,322,601722,44984,7539,120835,28247,130642,1862699,12988087,72497,159987049,1259501,147642,30337054,3752250,1091868,14834,108148597,45,1495635,90519470,1063,2438355,105067232,22393,68680,23110726,155624741,6300,23408,309155,NA
"9002-C_S",52814913,53155,40734,NA,246901,6216569,2509196,77741,69,1147883,53523,9127,129434,95555,144003,1552019,14228981,61472,137102808,976999,148430,41551349,3220762,1371483,23587,146156577,NA,2787544,79818731,638,2630550,79053152,26706,63229,17477632,118522084,5053,18915,281897,NA
"9006-B_S",88108778,55958,1095794,522236,648551,6757251,3204097,779231,405,872623,46349,8079,100242,66667,146436,2047202,12600923,73988,176729762,1439626,174080,34535883,3776669,1224644,15429,118973715,16,1966964,116240391,596,2461627,110383223,25513,86911,22676603,170866254,6661,26222,331094,119641
"9006-C_S",72159695,56177,368823,NA,789207,5336788,3757111,NA,450,624210,50171,6323,88789,41440,145067,1880709,12496663,47323,153114816,1354291,163418,32258019,4272478,1135957,17248,119983766,NA,1440310,90767066,528,2635084,101482644,22093,81367,20090934,144436734,6573,26224,334536,89905
"9013-C_S",70398513,51727,9857,NA,440655,4715700,3559199,NA,283,530608,40541,8808,145667,62404,113132,1597463,18466386,60384,200640201,1330946,153312,32265207,3633847,1265822,12494,117275411,125,1639487,115585921,380,1368313,114016754,21452,65835,23686381,189577384,6145,18064,303957,NA
"9013-D_S",68329132,45202,19992,141120,444285,4854441,3627582,NA,385,407526,45361,9858,127998,65420,104480,1654983,23477553,83521,197006001,1195273,135665,28650709,3009215,1178906,11222,112751581,NA,1845623,97114600,277,1403899,103307180,17162,53991,23597569,178409601,6014,16743,325424,NA
"9013-E_S",61103433,47662,147950,1463932,224722,3266278,3031846,1576771,264,451390,44226,12335,96720,108600,146223,1857371,15071644,105902,133638798,781519,123914,34990540,3719865,1325249,12830,111628078,NA,1696986,72959909,1338,1595619,93647154,19708,68377,25453652,124301447,5455,24224,348434,188764
"9010-A_S",60316603,44117,836286,62290,186579,6296073,3931037,2194088,217,1361126,51206,6846,116865,86452,136712,1815317,8488695,76225,102630961,677632,106248,20782499,2919216,1207586,19770,94292697,1805,1946428,63901102,1620,1171125,84106090,29852,88241,18990559,106291276,4739,21887,249815,NA
"9010-B_S",54684072,46068,618900,1547171,253052,6263857,4306189,1053786,246,957440,41145,6553,107180,54211,95791,1505173,7655969,63860,128754087,856120,98841,22491029,2427469,1077483,17434,105796207,873,1948361,89979185,642,1061891,75217382,30009,107887,12884749,139861631,5010,22303,207348,NA
"9010-C_S",54232757,54494,422756,NA,335144,5195834,3899062,26806,381,1065164,45570,5228,84519,34081,138320,1315635,9304113,33159,134475217,743890,110044,16620071,3281057,1104715,20242,108001534,272,1393543,84556078,1024,983435,90743214,26890,86283,14168752,130783837,4807,23347,230229,121795
"9010-D_S",54829631,34380,733368,1916251,284596,6136510,3830666,1831371,351,948461,46134,7467,83642,32779,74303,1020317,8299019,51664,118036392,734034,82608,11132200,2108384,923331,13579,97237760,329,1721388,74363473,733,1856079,70043102,21947,56847,11605914,128330212,4729,21084,226691,163682
"9010-E_S",52054891,36549,839739,1227753,244160,5155044,3260111,1608356,233,1547387,50722,6707,66924,53341,125206,1061115,8089493,47810,89480293,669086,95456,16411426,2342567,961215,15371,88783438,NA,1539430,61836230,914,1193540,76630540,20245,65536,12904583,108000016,3817,25887,286391,81952
"9006-D_S",83208381,54723,1006178,2921823,721227,5289752,3163758,2057095,466,774850,48048,8420,83567,43260,134552,1822414,9964458,79387,185999158,1360293,164632,42917000,4099748,1198052,15994,113449369,39,1854014,101990593,416,2878799,112563896,22632,73132,25030122,172072016,7287,31341,370711,NA
"9006-E_S",79467634,51649,1297603,3011880,872555,5333183,3203251,2782228,342,606538,55536,9952,107351,52017,131865,2051910,11514973,89697,142458561,1396121,157412,35733581,3628299,1185460,15197,115819276,NA,2128306,90799269,902,3280736,92145257,22409,100567,25198805,158588613,7540,29369,392780,148154
"9005-A_S",68441236,38093,2611091,237062,401997,8576994,5536035,932803,486,1623402,46199,8674,91306,73529,148399,1386954,6317650,83680,144476163,647817,158109,30379252,6798822,1166690,20025,83215380,29,2829682,87700459,1009,3899206,76637082,15088,71267,23001532,174093703,5964,15391,238708,78942
"9005-B_S",66383242,44629,4340528,NA,309165,7793740,4319718,696754,388,1602676,49578,10029,131059,85586,154599,1440380,9342288,85680,161590047,807104,130887,27752243,3924457,1263312,28355,94431171,65,2271781,80140416,735,3113185,99851724,18564,65198,18929162,154561974,6439,12179,280371,46362
"9005-C_S",75576727,40597,3563009,NA,485670,9487745,4226790,NA,20,1789094,47122,9376,141695,104857,149610,1433260,13893034,71229,152402274,692989,131105,20273569,3868440,1215485,25549,84274386,196,2837915,87872004,759,3352894,98849601,19266,67653,17159006,139101730,5707,10273,267424,172977
"9040-E_S",76080458,38721,1064428,2785957,444343,7767887,1924673,531102,371,2355778,44964,10423,69387,55319,144730,1484617,24454027,74331,162384057,718042,151982,16044579,2128420,970641,12119,87126581,646,3629207,90948216,1165,3008699,93282777,14187,52115,28231594,160803068,5303,17945,241704,251965
"9038-A_S",48096729,37697,7547,NA,553710,5627122,3583300,NA,424,472800,39109,12528,64564,37739,212300,1565887,11104322,65160,171246796,1464352,119169,25385425,4330295,962878,9486,105043264,347,2217191,100423093,596,1758087,82728293,14267,67590,26778645,206419291,6109,23681,256307,200426
"9038-E_S",41048616,33380,1241552,2095640,398759,5106391,3519728,1148912,422,515345,49040,12319,64743,47760,166746,1486788,24052596,64286,160469706,1212776,110302,27400721,3446732,1022001,9080,102278266,NA,2173418,90189636,598,2211290,77362608,15427,59679,27559107,183628001,7458,14738,275507,179626
"9037-C_S",60951953,53563,1903771,NA,506830,9232229,3466368,NA,109,1103102,35424,6524,72686,50103,138096,1550102,27141575,27110,131095797,1081574,155861,24385734,3109895,1004261,14491,81623011,286,2917383,82246812,448,2355948,93499388,19093,62670,18841649,135018928,3676,14323,254425,127767
"9005-E_S",59511074,44273,8361,6736058,786289,6671026,4242992,1190570,980,1952488,44626,10865,104678,52062,120608,1660607,14187033,78158,155448842,1084473,136674,20463307,2733208,1015496,12110,76003331,1094,3082753,97174112,1052,4679339,92327034,15001,61123,27868161,157553139,6413,12839,239138,441376
"9004-A_S",96875081,45964,5523,NA,82090,5082975,1631963,4258486,150,956774,60200,13404,73309,49122,108214,1346399,15531499,70648,124804123,521434,113601,22545076,2943054,1235100,14470,85333109,NA,2655693,86358210,574,5972120,74414852,12702,67352,23108954,111501326,6174,20282,199651,NA
"9040-A_S",85975989,37812,1780996,296593,579630,8102180,2361805,2474598,415,1536796,41274,9579,62912,87506,138457,1769497,37170818,73550,182975247,760606,143745,19682195,2636178,1012609,11686,88979633,1439,3130786,121540423,1176,3408455,105341392,13164,48776,22864322,169148962,4900,14186,238099,205436
"9040-B_S",87658436,43609,2166715,912379,463584,8172399,3079248,2260331,237,1688557,35785,10370,63610,40690,145193,1742756,14779171,71758,177354400,831848,162621,18432149,2617978,1112778,11657,90815479,1006,3745938,116066450,1681,3071225,109843890,14290,57191,23491941,166990312,4928,15151,226115,102926
"9002-D_S",53413556,49116,115540,3524523,280461,5679697,1813344,4267115,88,1522524,59156,10655,130272,43450,123619,1742666,18030112,100019,138442078,811773,122583,39093856,3003767,1399955,19102,141530938,193,3138561,65332159,873,3696311,81897853,20077,53386,17128343,139060587,4828,24733,305731,175565
"9040-C_S",83387610,49895,1200213,NA,788671,9615967,3305709,54134,598,1638773,40050,8337,62493,49581,171975,1764149,16689963,37070,214134357,965597,175553,22016050,3031784,1092753,13439,100287058,2576,3924304,134079720,1390,3094084,121970941,14823,62005,27727802,192052962,6565,16156,271082,302281
"9040-D_S",81895280,48058,1681074,7605917,527204,10035131,2314435,2261563,493,2026582,43702,9047,80055,66180,188758,1979105,15629123,71587,198576991,853370,194587,17943256,2680754,1116417,12584,97542611,631,4115904,122526105,908,2994681,113384646,14121,56656,29379216,169063138,5030,15754,257885,271437
"9004-B_S",63178701,56791,7835,NA,97475,4577732,1889329,5326044,14,1092900,54681,14894,73548,39515,138429,1471692,15178576,89418,128138554,834472,166548,24668187,2975809,1292120,15728,105015711,29,1995684,72550749,629,1773562,92786672,21529,74465,21849200,113308109,5757,15681,224648,NA
"9038-B_S",46801065,33394,3587,NA,433937,5205799,3164073,NA,342,460269,39578,13389,49162,45587,204302,1178223,11547284,56175,143924326,1173790,108556,19806262,4210665,893089,8900,75814547,186,2520873,87614043,329,1552155,82776537,11840,68260,25106773,183666150,5453,21485,224215,125814
"9038-D_S",43922721,35850,144357,621920,395730,6109688,3187584,NA,449,886004,40683,14140,60387,30875,192082,1185634,24189728,46789,172845487,1188983,114373,25081551,4000949,918218,8596,83401111,163,2882065,101772121,825,1585212,83540228,10592,58198,30703960,205654751,5869,22475,309789,145550
"9037-A_S",67454764,47624,2422819,NA,481737,7850051,2360232,1242587,223,1066501,34472,6104,95956,33055,132092,1586359,25198660,49008,125645027,967300,155401,20849128,2954908,973471,12253,72976381,2107,2239757,73876603,851,2241373,96655752,18775,61776,19813134,139058431,4161,18965,252444,94698
"9037-B_S",82475790,57403,1988114,NA,517371,7629759,2512316,1121163,346,1280252,32563,6646,102757,35044,135471,1941874,26993243,57833,153967805,1239939,186012,26588589,3204987,1045488,12643,93274743,NA,2913141,86325848,890,2429797,115317305,19923,69389,22658265,161044704,3528,16611,281755,182181
"9037-D_S",62785001,53376,1896254,7006350,549263,7999921,2301992,1790874,341,1298967,35354,6009,73072,61194,137937,1662241,27091234,57579,159507360,1099073,174014,23946649,2794687,1101580,12481,89617537,323,3200422,89699654,225,2380915,106467528,18069,58796,21396187,155833670,3791,17545,275220,237447
"9037-E_S",69334487,42415,2915592,6186395,351917,6244410,2008014,2825781,215,1272946,38501,7410,82969,44482,147148,1433579,23081562,51216,105422544,743362,153209,19259968,2811451,980757,13203,72153726,154,2744153,62204562,335,2599522,87400818,16777,57138,17844364,120383655,3529,13756,244004,104863
"9036-A_S",79502378,53330,2120337,70390,612900,4501969,3087481,2155122,503,646721,39582,8245,177806,36089,153041,2341934,27204786,85715,158073049,1538716,142557,33428836,2895243,1267737,13646,111737229,171,2008478,89707436,4491,2168973,98839815,14291,65832,23348632,152623917,6163,19683,280735,149506
