"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","PreparerClass","Tags"
"HuMMANet Study Index","Study-level availability table for the HuMMANet ExperimentHub resources.","3.24",,"RDS","https://zenodo.org/records/22053943/files/study_index.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","data.frame","RDS","https://zenodo.org/records/22053943/files","study_index.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,study_index"
"HuMMANet Study Bundle: BarkerTejedaTC_2024_Targeted","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study BarkerTejedaTC_2024_Targeted .","3.24",,"RDS","https://zenodo.org/records/22053943/files/barkertejedatc__384f3edf.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","barkertejedatc__384f3edf.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,BarkerTejedaTC_2024_Targeted"
"HuMMANet Study Bundle: BarkerTejedaTC_2024_Untargeted","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study BarkerTejedaTC_2024_Untargeted .","3.24",,"RDS","https://zenodo.org/records/22053943/files/barkertejedatc__21059c5e.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","barkertejedatc__21059c5e.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,BarkerTejedaTC_2024_Untargeted"
"HuMMANet Study Bundle: CarterM_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study CarterM_2025 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/carterm_2025.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","carterm_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,CarterM_2025"
"HuMMANet Study Bundle: ChengT_2024_F","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ChengT_2024_F .","3.24",,"RDS","https://zenodo.org/records/22053943/files/chengt_2024_f.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","chengt_2024_f.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ChengT_2024_F"
"HuMMANet Study Bundle: ChengT_2024_S","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ChengT_2024_S .","3.24",,"RDS","https://zenodo.org/records/22053943/files/chengt_2024_s.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","chengt_2024_s.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ChengT_2024_S"
"HuMMANet Study Bundle: ConleyT_2024","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ConleyT_2024 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/conleyt_2024.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","conleyt_2024.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ConleyT_2024"
"HuMMANet Study Bundle: DawkinsJ_2022","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study DawkinsJ_2022 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/dawkinsj_2022.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","dawkinsj_2022.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,DawkinsJ_2022"
"HuMMANet Study Bundle: DuL_2025","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study DuL_2025 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/dul_2025.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","dul_2025.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,DuL_2025"
"HuMMANet Study Bundle: ERAWIJANTARI_2020","Curated MetadataProfile, taxaAbundanceProfile, OriginalMetaboliteProfile, harmonizedMetaboliteProfile, and annotation tables for the HuMMANet study ERAWIJANTARI_2020 .","3.24",,"RDS","https://zenodo.org/records/22053943/files/erawijantari_2020.rds?download=1","0.99.0","Homo sapiens","9606",FALSE,"HuMMANet","Nalin Arora <nalin21478@iiitd.ac.in>","list","RDS","https://zenodo.org/records/22053943/files","erawijantari_2020.rds","RDSFile","ExperimentHub,ExperimentData,Microbiome,Metabolome,HuMMANet,harmonizedMetaboliteProfile,metaboliteIdentifierMapping,microbialProducerAnnotations,metaboliteDiseaseAssociations,metabolitePathwayAnnotations,drugBankSimilarityMatches,drugCentralSimilarityMatches,ERAWIJANTARI_2020"
